iter 1800: loss 1.2844, time 395.75ms, mfu 0.95%
iter 1810: loss 1.2806, time 388.28ms, mfu 0.95%
iter 1820: loss 1.2836, time 385.65ms, mfu 0.96%
iter 1830: loss 1.3402, time 385.19ms, mfu 0.96%
iter 1840: loss 1.2995, time 385.59ms, mfu 0.96%
iter 1850: loss 1.3130, time 384.95ms, mfu 0.96%
iter 1860: loss 1.2876, time 385.76ms, mfu 0.96%
iter 1870: loss 1.3401, time 384.47ms, mfu 0.96%
iter 1880: loss 1.3192, time 384.67ms, mfu 0.96%
iter 1890: loss 1.2917, time 385.51ms, mfu 0.96%
iter 1900: loss 1.2986, time 387.10ms, mfu 0.96%
iter 1910: loss 1.2933, time 391.98ms, mfu 0.96%
iter 1920: loss 1.2603, time 390.15ms, mfu 0.96%
iter 1930: loss 1.3188, time 384.88ms, mfu 0.96%
iter 1940: loss 1.2806, time 384.70ms, mfu 0.96%
iter 1950: loss 1.2975, time 384.51ms, mfu 0.96%
iter 1960: loss 1.2953, time 384.66ms, mfu 0.96%
iter 1970: loss 1.2986, time 384.29ms, mfu 0.96%
iter 1980: loss 1.2629, time 384.76ms, mfu 0.97%
iter 1990: loss 1.3211, time 384.60ms, mfu 0.97%
step 2000: train loss 1.2255, val loss 1.4739
saving checkpoint to rsi/runs/r1-data-full
iter 2000: loss 1.2708, time 39725.20ms, mfu 0.87%
