iter 2330: loss 2.6107, time 929.99ms, mfu 1.00%
iter 2340: loss 2.5520, time 924.48ms, mfu 1.00%
iter 2350: loss 2.6481, time 923.91ms, mfu 1.01%
iter 2360: loss 2.5746, time 918.08ms, mfu 1.01%
iter 2370: loss 2.6053, time 923.47ms, mfu 1.02%
iter 2380: loss 2.6962, time 917.31ms, mfu 1.02%
iter 2390: loss 2.6037, time 914.79ms, mfu 1.03%
iter 2400: loss 2.5405, time 914.29ms, mfu 1.03%
iter 2410: loss 2.5723, time 902.42ms, mfu 1.04%
iter 2420: loss 2.6677, time 909.40ms, mfu 1.04%
iter 2430: loss 2.5304, time 910.95ms, mfu 1.05%
iter 2440: loss 2.5718, time 915.38ms, mfu 1.05%
iter 2450: loss 2.6116, time 930.18ms, mfu 1.05%
iter 2460: loss 2.5217, time 917.12ms, mfu 1.05%
iter 2470: loss 2.5439, time 917.44ms, mfu 1.05%
iter 2480: loss 2.5575, time 924.21ms, mfu 1.05%
iter 2490: loss 2.5263, time 925.28ms, mfu 1.05%
step 2500: train loss 2.2391, val loss 4.8816
iter 2500: loss 2.5602, time 116307.04ms, mfu 0.95%
iter 2510: loss 2.5164, time 938.19ms, mfu 0.96%
iter 2520: loss 2.4668, time 936.93ms, mfu 0.97%
iter 2530: loss 2.5444, time 939.84ms, mfu 0.98%
iter 2540: loss 2.5781, time 939.86ms, mfu 0.98%
iter 2550: loss 2.6500, time 938.45ms, mfu 0.99%
iter 2560: loss 2.6100, time 942.32ms, mfu 0.99%
iter 2570: loss 2.5284, time 937.35ms, mfu 1.00%
iter 2580: loss 2.5883, time 940.54ms, mfu 1.00%
iter 2590: loss 2.5110, time 944.43ms, mfu 1.01%
iter 2600: loss 2.4948, time 935.42ms, mfu 1.01%
iter 2610: loss 2.4980, time 937.33ms, mfu 1.01%
iter 2620: loss 2.5166, time 935.97ms, mfu 1.02%
iter 2630: loss 2.5369, time 925.22ms, mfu 1.02%
iter 2640: loss 2.5414, time 947.16ms, mfu 1.02%
iter 2650: loss 2.5332, time 933.45ms, mfu 1.03%
iter 2660: loss 2.5677, time 930.63ms, mfu 1.03%
iter 2670: loss 2.4770, time 942.87ms, mfu 1.03%
iter 2680: loss 2.5140, time 930.58ms, mfu 1.03%
iter 2690: loss 2.5268, time 933.42ms, mfu 1.03%
iter 2700: loss 2.5621, time 928.71ms, mfu 1.04%
iter 2710: loss 2.4297, time 930.50ms, mfu 1.04%
iter 2720: loss 2.4216, time 935.82ms, mfu 1.04%
iter 2730: loss 2.5214, time 932.84ms, mfu 1.04%
iter 2740: loss 2.4373, time 929.56ms, mfu 1.04%
iter 2750: loss 2.5433, time 929.10ms, mfu 1.04%
iter 2760: loss 2.3929, time 925.24ms, mfu 1.04%
iter 2770: loss 2.4938, time 927.62ms, mfu 1.05%
iter 2780: loss 2.4653, time 925.91ms, mfu 1.05%
iter 2790: loss 2.5174, time 928.41ms, mfu 1.05%
iter 2800: loss 2.5083, time 928.49ms, mfu 1.05%
iter 2810: loss 2.4411, time 925.79ms, mfu 1.05%
iter 2820: loss 2.4755, time 926.28ms, mfu 1.05%
iter 2830: loss 2.4282, time 925.53ms, mfu 1.05%
iter 2840: loss 2.5028, time 926.30ms, mfu 1.05%
iter 2850: loss 2.4741, time 926.22ms, mfu 1.05%
iter 2860: loss 2.4674, time 921.71ms, mfu 1.05%
iter 2870: loss 2.5484, time 923.19ms, mfu 1.05%
iter 2880: loss 2.4146, time 921.02ms, mfu 1.06%
iter 2890: loss 2.4826, time 920.40ms, mfu 1.06%
iter 2900: loss 2.4378, time 923.20ms, mfu 1.06%
iter 2910: loss 2.3916, time 921.41ms, mfu 1.06%
iter 2920: loss 2.4948, time 920.60ms, mfu 1.06%
iter 2930: loss 2.4544, time 923.63ms, mfu 1.06%
iter 2940: loss 2.4629, time 921.74ms, mfu 1.06%
iter 2950: loss 2.4545, time 920.49ms, mfu 1.06%
iter 2960: loss 2.5098, time 917.35ms, mfu 1.06%
iter 2970: loss 2.4264, time 920.26ms, mfu 1.06%
iter 2980: loss 2.4664, time 924.18ms, mfu 1.06%
iter 2990: loss 2.4324, time 921.09ms, mfu 1.06%
step 3000: train loss 2.0894, val loss 4.9985
iter 3000: loss 2.4728, time 115844.37ms, mfu 0.96%
iter 3010: loss 2.5337, time 934.29ms, mfu 0.97%
iter 3020: loss 2.4847, time 932.69ms, mfu 0.97%
iter 3030: loss 2.4662, time 933.66ms, mfu 0.98%
iter 3040: loss 2.4392, time 928.08ms, mfu 0.99%
iter 3050: loss 2.4792, time 937.35ms, mfu 0.99%
iter 3060: loss 2.4633, time 933.26ms, mfu 1.00%
iter 3070: loss 2.4024, time 936.76ms, mfu 1.01%
iter 3080: loss 2.4165, time 932.78ms, mfu 1.01%
iter 3090: loss 2.4858, time 927.01ms, mfu 1.01%
iter 3100: loss 2.4940, time 929.87ms, mfu 1.02%
iter 3110: loss 2.3657, time 931.27ms, mfu 1.02%
iter 3120: loss 2.3106, time 930.19ms, mfu 1.03%
iter 3130: loss 2.3728, time 930.79ms, mfu 1.03%
iter 3140: loss 2.3757, time 934.15ms, mfu 1.03%
iter 3150: loss 2.4138, time 930.55ms, mfu 1.03%
iter 3160: loss 2.4445, time 928.85ms, mfu 1.03%
iter 3170: loss 2.3817, time 1056.49ms, mfu 1.02%
iter 3180: loss 2.3945, time 930.30ms, mfu 1.03%
iter 3190: loss 2.4822, time 929.20ms, mfu 1.03%
iter 3200: loss 2.4838, time 931.10ms, mfu 1.03%
iter 3210: loss 2.4417, time 927.48ms, mfu 1.03%
iter 3220: loss 2.4482, time 929.37ms, mfu 1.04%
iter 3230: loss 2.4551, time 922.76ms, mfu 1.04%
iter 3240: loss 2.3987, time 927.50ms, mfu 1.04%
iter 3250: loss 2.3464, time 922.13ms, mfu 1.04%
iter 3260: loss 2.3855, time 923.65ms, mfu 1.05%
iter 3270: loss 2.3524, time 920.85ms, mfu 1.05%
iter 3280: loss 2.3370, time 919.58ms, mfu 1.05%
iter 3290: loss 2.3266, time 920.70ms, mfu 1.05%
iter 3300: loss 2.3088, time 918.85ms, mfu 1.05%
iter 3310: loss 2.2967, time 916.62ms, mfu 1.05%
