Overriding config with projects/shakespeare/config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# The base config for a new experiment round on the shared core engine. Run from
# the repo root, e.g.:
#   uv run python core/nanogpt_core/train.py \
#       projects/shakespeare/config/train_shakespeare_mac.py \
#       --out_dir=projects/shakespeare/runs/r1
#
# Sets device='mps' and compile=False, the two changes needed to train on a Mac
# instead of an NVIDIA GPU. (Released versions carry their own frozen config.py
# under models/<version>/; this file is for running new experiment rounds.)

out_dir = 'projects/shakespeare/runs/out-shakespeare-char'
data_root = 'projects/shakespeare/data'  # where prepare.py writes <dataset>/*.bin
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: out_dir = projects/shakespeare/runs/r5-xl-bpe4k
Overriding: dataset = shakespeare_xl_bpe4k
tokens per iteration will be: 16,384
found vocab_size = 4096 (inside projects/shakespeare/data/shakespeare_xl_bpe4k/meta.pkl)
Initializing a new model from scratch
number of parameters: 12.19M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 8.3421, val loss 8.3535
iter 1540: loss 8.9242, time 323.97ms, mfu 1.20%
iter 1550: loss 7.9032, time 329.56ms, mfu 1.21%
iter 1560: loss 8.1508, time 322.57ms, mfu 1.22%
iter 1570: loss 7.8074, time 323.40ms, mfu 1.23%
iter 1580: loss 7.7279, time 324.72ms, mfu 1.23%
iter 1590: loss 8.7198, time 324.44ms, mfu 1.24%
iter 1600: loss 8.0009, time 324.07ms, mfu 1.25%
iter 1610: loss 8.1185, time 324.52ms, mfu 1.25%
iter 1620: loss 8.2017, time 324.90ms, mfu 1.26%
iter 1630: loss 7.5441, time 316.12ms, mfu 1.26%
iter 1640: loss 8.4744, time 330.67ms, mfu 1.26%
iter 1650: loss 8.1028, time 325.55ms, mfu 1.27%
iter 1660: loss 9.0037, time 335.17ms, mfu 1.27%
iter 1670: loss 7.5199, time 325.06ms, mfu 1.27%
iter 1680: loss 7.9697, time 326.67ms, mfu 1.27%
iter 1690: loss 8.2324, time 326.25ms, mfu 1.27%
iter 1700: loss 8.1670, time 344.84ms, mfu 1.27%
iter 1710: loss 8.8083, time 330.58ms, mfu 1.27%
iter 1720: loss 8.6795, time 327.65ms, mfu 1.27%
iter 1730: loss 8.8645, time 323.25ms, mfu 1.27%
iter 1740: loss 8.6779, time 329.98ms, mfu 1.27%
step 1750: train loss 7.9237, val loss 7.9271
iter 1750: loss 7.5699, time 35404.23ms, mfu 1.15%
iter 1760: loss 8.4498, time 325.10ms, mfu 1.16%
iter 1770: loss 8.2571, time 323.00ms, mfu 1.18%
iter 1780: loss 7.8163, time 325.44ms, mfu 1.19%
iter 1790: loss 8.2198, time 324.19ms, mfu 1.20%
iter 1800: loss 8.6252, time 323.71ms, mfu 1.21%
iter 1810: loss 8.4142, time 323.70ms, mfu 1.22%
iter 1820: loss 8.5177, time 331.72ms, mfu 1.22%
iter 1830: loss 8.6027, time 324.20ms, mfu 1.23%
iter 1840: loss 8.8690, time 323.41ms, mfu 1.24%
iter 1850: loss 7.8406, time 324.10ms, mfu 1.25%
iter 1860: loss 8.5388, time 326.38ms, mfu 1.25%
iter 1870: loss 8.9652, time 323.88ms, mfu 1.25%
iter 1880: loss 8.0343, time 323.55ms, mfu 1.26%
iter 1890: loss 7.6757, time 324.12ms, mfu 1.26%
iter 1900: loss 8.9240, time 323.14ms, mfu 1.27%
iter 1910: loss 8.3816, time 323.80ms, mfu 1.27%
iter 1920: loss 8.1696, time 322.96ms, mfu 1.27%
iter 1930: loss 8.2865, time 323.38ms, mfu 1.28%
iter 1940: loss 8.3652, time 324.58ms, mfu 1.28%
iter 1950: loss 8.0793, time 329.69ms, mfu 1.28%
iter 1960: loss 8.6906, time 322.83ms, mfu 1.28%
iter 1970: loss 8.3944, time 323.04ms, mfu 1.28%
iter 1980: loss 8.7734, time 322.80ms, mfu 1.29%
iter 1990: loss 7.6588, time 321.71ms, mfu 1.29%
step 2000: train loss 8.3807, val loss 8.2041
iter 2000: loss 8.1426, time 35497.38ms, mfu 1.16%
