iter 1780: loss 1.2175, time 474.03ms, mfu 0.84%
iter 1790: loss 1.1631, time 452.32ms, mfu 0.84%
iter 1800: loss 1.1541, time 421.90ms, mfu 0.85%
iter 1810: loss 1.1640, time 416.94ms, mfu 0.85%
iter 1820: loss 1.1882, time 409.50ms, mfu 0.86%
iter 1830: loss 1.1851, time 411.11ms, mfu 0.86%
iter 1840: loss 1.2154, time 414.29ms, mfu 0.87%
iter 1850: loss 1.1600, time 415.24ms, mfu 0.87%
iter 1860: loss 1.1675, time 416.90ms, mfu 0.87%
iter 1870: loss 1.1570, time 415.85ms, mfu 0.87%
iter 1880: loss 1.1811, time 417.43ms, mfu 0.88%
iter 1890: loss 1.1810, time 417.41ms, mfu 0.88%
iter 1900: loss 1.1609, time 419.69ms, mfu 0.88%
iter 1910: loss 1.1506, time 423.51ms, mfu 0.88%
iter 1920: loss 1.1573, time 417.16ms, mfu 0.88%
iter 1930: loss 1.1483, time 413.94ms, mfu 0.88%
iter 1940: loss 1.1590, time 416.95ms, mfu 0.88%
iter 1950: loss 1.1771, time 416.55ms, mfu 0.88%
iter 1960: loss 1.1721, time 416.47ms, mfu 0.89%
iter 1970: loss 1.1320, time 416.44ms, mfu 0.89%
iter 1980: loss 1.1570, time 416.26ms, mfu 0.89%
iter 1990: loss 1.1514, time 416.62ms, mfu 0.89%
step 2000: train loss 1.0765, val loss 1.5676
saving checkpoint to rsi/runs/r1-data-small
iter 2000: loss 1.1477, time 43122.43ms, mfu 0.80%
